timestamp, T_WS_x, T_WS_y, T_WS_z, T_WS_qx, T_WS_qy, T_WS_qz, T_WS_qw
1523957607423815604,0,0,0,0,0,0,1
1523957607459971323,-0.00128835,-0.00622545,-0.00637181,9.70238e-05,-0.000886431,-0.000517219,0.999999
1523957607464905781,-0.00166298,-0.00804066,-0.00822989,0.000105291,-0.00100661,-0.00058444,0.999999
1523957607555039678,-0.016844,-0.0818356,-0.0838337,0.000166509,-0.00291901,-0.00169306,0.999994
1523957607559838529,-0.0180952,-0.08792,-0.090068,0.000159177,-0.00303259,-0.00174915,0.999994
1523957607603547761,-0.0315687,-0.153392,-0.157146,7.09049e-05,-0.00388376,-0.00219861,0.99999
1523957607608543435,-0.0333462,-0.162029,-0.165991,6.44314e-05,-0.00398531,-0.00224582,0.99999
1523957607669711223,-0.059084,-0.287007,-0.293887,-0.000184067,-0.00517994,-0.00271393,0.999983
1523957607705628426,-0.0776459,-0.376997,-0.385844,-0.00035707,-0.00583955,-0.00290953,0.999979
1523957607710710985,0.000163953,0.000347683,-0.00144127,-0.689809,0.137392,0.00128994,0.710834
1523957607849054602,0.000369734,0.00128438,-0.00501169,-0.690483,0.135611,0.00255484,0.710518
1523957607965037848,0.000566877,0.00271978,-0.00987217,-0.691083,0.134536,0.00360469,0.710135
1523957608059953878,0.000632474,0.00423945,-0.015082,-0.691647,0.134039,0.0044627,0.709675
1523957608149333640,0.000685584,0.00595751,-0.0210568,-0.692166,0.133819,0.00538179,0.709204
1523957608228726389,0.000643397,0.00779105,-0.027238,-0.692677,0.133795,0.00619122,0.708702
1523957608320718331,0.000422768,0.0103156,-0.0354295,-0.693286,0.133998,0.0071254,0.70806
1523957608405765181,1.8356e-05,0.01298,-0.0439145,-0.693928,0.134321,0.00797263,0.70736
1523957608459488635,-0.000334128,0.0148966,-0.0497453,-0.694365,0.134603,0.008499,0.706871
1523957608469525915,-0.00547442,0.0136876,-0.0576144,-0.694227,0.135047,0.00904602,0.706915
1523957608538808547,-0.00597849,0.0161637,-0.0662607,-0.69478,0.135325,0.0096558,0.70631
1523957608594785344,-0.00639092,0.0183563,-0.0737509,-0.695253,0.135501,0.0101105,0.705805
