timestamp, T_WS_x, T_WS_y, T_WS_z, T_WS_qx, T_WS_qy, T_WS_qz, T_WS_qw
1523957607423815604,0,0,0,0,0,0,1
1523957607459971323,-0.00128835,-0.00622545,-0.00637181,9.70238e-05,-0.000886431,-0.000517219,0.999999
1523957607464905781,-0.00166298,-0.00804066,-0.00822989,0.000105291,-0.00100661,-0.00058444,0.999999
1523957607555039678,-0.016844,-0.0818356,-0.0838337,0.000166509,-0.00291901,-0.00169306,0.999994
1523957607559838529,-0.0180952,-0.08792,-0.090068,0.000159177,-0.00303259,-0.00174915,0.999994
1523957607603547761,-0.0315687,-0.153392,-0.157146,7.09049e-05,-0.00388376,-0.00219861,0.99999
1523957607608543435,2.03368e-05,1.43167e-05,-0.000203874,-0.689398,0.139258,0.00036755,0.710871
1523957607705628426,0.000158941,0.000327614,-0.00135882,-0.689787,0.137483,0.0012345,0.710838
1523957607718704792,-0.00173125,0.000342298,-0.003388,-0.689469,0.138412,0.00251449,0.710962
1523957607833790653,-0.00239842,0.000920219,-0.00757624,-0.690037,0.136898,0.00359438,0.7107
1523957607975063954,-0.00264481,0.00223203,-0.0149864,-0.690755,0.135611,0.00484223,0.710242
1523957608085105702,-0.00250259,0.00360992,-0.0225118,-0.6914,0.13509,0.00586747,0.709706
1523957608205756061,-0.00201021,0.00547968,-0.0325305,-0.692131,0.134928,0.00711895,0.709012
1523957608305480045,-0.00144615,0.00748845,-0.0422718,-0.692786,0.135075,0.00812426,0.708334
1523957608400350676,-0.000884235,0.00969073,-0.0526475,-0.693483,0.135424,0.00908485,0.707573
1523957608459488635,-0.000508518,0.0113016,-0.059697,-0.693963,0.135727,0.00967227,0.707037
1523957608469525915,-0.000439863,0.0115987,-0.060931,-0.694038,0.135755,0.00977886,0.706955
1523957608538808547,9.99839e-05,0.0137504,-0.0698281,-0.694591,0.136032,0.0103897,0.70635
1523957608589697320,0.000551494,0.0154778,-0.0768043,-0.695018,0.136192,0.0108069,0.705893
1523957608594785344,-0.109836,0.0335634,-0.0657455,-0.696539,0.127312,0.00234613,0.70613
1523957608605051228,-0.112126,0.0343052,-0.0670983,-0.696631,0.127339,0.00242894,0.706034
